Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 623: Adicionadas 5 amostras | Incerteza Média Batch: 1.1749 | Test R2: -0.4094 | Test MAE: 3.7257
Iteração 624: Adicionadas 5 amostras | Incerteza Média Batch: 1.1562 | Test R2: -0.3686 | Test MAE: 3.6604
Iteração 625: Adicionadas 5 amostras | Incerteza Média Batch: 1.1994 | Test R2: -0.3174 | Test MAE: 3.5766
Iteração 626: Adicionadas 5 amostras | Incerteza Média Batch: 1.2259 | Test R2: -0.2673 | Test MAE: 3.4951
Iteração 627: Adicionadas 5 amostras | Incerteza Média Batch: 1.2854 | Test R2: -0.2313 | Test MAE: 3.4388
Iteração 628: Adicionadas 5 amostras | Incerteza Média Batch: 1.3037 | Test R2: -0.2185 | Test MAE: 3.4310
Iteração 629: Adicionadas 5 amostras | Incerteza Média Batch: 1.3165 | Test R2: -0.2308 | Test MAE: 3.4728
Iteração 630: Adicionadas 5 amostras | Incerteza Média Batch: 1.2812 | Test R2: -0.2564 | Test MAE: 3.5434
Iteração 631: Adicionadas 5 amostras | Incerteza Média Batch: 1.2641 | Test R2: -0.2875 | Test MAE: 3.6258
Iteração 632: Adicionadas 5 amostras | Incerteza Média Batch: 1.2687 | Test R2: -0.3251 | Test MAE: 3.7267
Iteração 633: Adicionadas 5 amostras | Incerteza Média Batch: 1.2339 | Test R2: -0.3778 | Test MAE: 3.8492
Iteração 634: Adicionadas 5 amostras | Incerteza Média Batch: 1.2341 | Test R2: -0.4512 | Test MAE: 4.0014
Iteração 635: Adicionadas 5 amostras | Incerteza Média Batch: 1.2051 | Test R2: -0.5550 | Test MAE: 4.1965
Iteração 636: Adicionadas 5 amostras | Incerteza Média Batch: 1.1946 | Test R2: -0.6790 | Test MAE: 4.4107
Iteração 637: Adicionadas 5 amostras | Incerteza Média Batch: 1.1770 | Test R2: -0.7969 | Test MAE: 4.6014
Iteração 638: Adicionadas 5 amostras | Incerteza Média Batch: 1.1543 | Test R2: -0.8864 | Test MAE: 4.7394
Iteração 639: Adicionadas 5 amostras | Incerteza Média Batch: 1.1753 | Test R2: -0.9455 | Test MAE: 4.8276
Iteração 640: Adicionadas 5 amostras | Incerteza Média Batch: 1.1715 | Test R2: -0.9821 | Test MAE: 4.8805
Iteração 641: Adicionadas 5 amostras | Incerteza Média Batch: 1.1746 | Test R2: -0.9890 | Test MAE: 4.8894
Iteração 642: Adicionadas 5 amostras | Incerteza Média Batch: 1.2014 | Test R2: -0.9676 | Test MAE: 4.8580
Iteração 643: Adicionadas 5 amostras | Incerteza Média Batch: 1.2033 | Test R2: -0.9326 | Test MAE: 4.8063
Iteração 644: Adicionadas 5 amostras | Incerteza Média Batch: 1.1972 | Test R2: -0.8745 | Test MAE: 4.7215
Iteração 645: Adicionadas 5 amostras | Incerteza Média Batch: 1.1562 | Test R2: -0.7950 | Test MAE: 4.6043
Iteração 646: Adicionadas 5 amostras | Incerteza Média Batch: 1.1918 | Test R2: -0.6980 | Test MAE: 4.4564
Iteração 647: Adicionadas 5 amostras | Incerteza Média Batch: 1.2270 | Test R2: -0.5868 | Test MAE: 4.2778
Iteração 648: Adicionadas 5 amostras | Incerteza Média Batch: 1.2988 | Test R2: -0.4688 | Test MAE: 4.0761
Iteração 649: Adicionadas 5 amostras | Incerteza Média Batch: 1.3382 | Test R2: -0.3800 | Test MAE: 3.9138
Iteração 650: Adicionadas 5 amostras | Incerteza Média Batch: 1.2923 | Test R2: -0.2975 | Test MAE: 3.7526
Iteração 651: Adicionadas 5 amostras | Incerteza Média Batch: 1.2173 | Test R2: -0.2266 | Test MAE: 3.6041
Iteração 652: Adicionadas 5 amostras | Incerteza Média Batch: 1.2082 | Test R2: -0.1744 | Test MAE: 3.4886
Iteração 653: Adicionadas 5 amostras | Incerteza Média Batch: 1.2040 | Test R2: -0.1378 | Test MAE: 3.4039
Iteração 654: Adicionadas 5 amostras | Incerteza Média Batch: 1.1781 | Test R2: -0.1061 | Test MAE: 3.3277
Iteração 655: Adicionadas 5 amostras | Incerteza Média Batch: 1.1720 | Test R2: -0.0890 | Test MAE: 3.2827
Iteração 656: Adicionadas 5 amostras | Incerteza Média Batch: 1.1839 | Test R2: -0.0820 | Test MAE: 3.2601
Iteração 657: Adicionadas 5 amostras | Incerteza Média Batch: 1.1744 | Test R2: -0.0763 | Test MAE: 3.2376
Iteração 658: Adicionadas 5 amostras | Incerteza Média Batch: 1.1754 | Test R2: -0.0795 | Test MAE: 3.2300
Iteração 659: Adicionadas 5 amostras | Incerteza Média Batch: 1.1803 | Test R2: -0.0926 | Test MAE: 3.2422
Iteração 660: Adicionadas 5 amostras | Incerteza Média Batch: 1.1905 | Test R2: -0.1120 | Test MAE: 3.2639
Iteração 661: Adicionadas 5 amostras | Incerteza Média Batch: 1.1986 | Test R2: -0.1405 | Test MAE: 3.2982
Iteração 662: Adicionadas 5 amostras | Incerteza Média Batch: 1.2162 | Test R2: -0.1771 | Test MAE: 3.3434
Iteração 663: Adicionadas 5 amostras | Incerteza Média Batch: 1.2237 | Test R2: -0.2208 | Test MAE: 3.3962
Iteração 664: Adicionadas 5 amostras | Incerteza Média Batch: 1.2580 | Test R2: -0.2707 | Test MAE: 3.4563
Iteração 665: Adicionadas 5 amostras | Incerteza Média Batch: 1.2670 | Test R2: -0.3218 | Test MAE: 3.5198
Iteração 666: Adicionadas 5 amostras | Incerteza Média Batch: 1.2724 | Test R2: -0.3764 | Test MAE: 3.5855
Iteração 667: Adicionadas 5 amostras | Incerteza Média Batch: 1.2464 | Test R2: -0.4372 | Test MAE: 3.6561
Iteração 668: Adicionadas 5 amostras | Incerteza Média Batch: 1.2395 | Test R2: -0.4981 | Test MAE: 3.7253
Iteração 669: Adicionadas 5 amostras | Incerteza Média Batch: 1.2616 | Test R2: -0.5166 | Test MAE: 3.7470
Iteração 670: Adicionadas 5 amostras | Incerteza Média Batch: 1.2803 | Test R2: -0.4831 | Test MAE: 3.7110
Iteração 671: Adicionadas 5 amostras | Incerteza Média Batch: 1.3120 | Test R2: -0.4123 | Test MAE: 3.6308
Iteração 672: Adicionadas 5 amostras | Incerteza Média Batch: 1.3361 | Test R2: -0.3203 | Test MAE: 3.5200
Iteração 673: Adicionadas 5 amostras | Incerteza Média Batch: 1.3736 | Test R2: -0.2297 | Test MAE: 3.4035
Iteração 674: Adicionadas 5 amostras | Incerteza Média Batch: 1.4295 | Test R2: -0.1580 | Test MAE: 3.3052
Iteração 675: Adicionadas 5 amostras | Incerteza Média Batch: 1.4906 | Test R2: -0.1197 | Test MAE: 3.2619
Iteração 676: Adicionadas 5 amostras | Incerteza Média Batch: 1.5619 | Test R2: -0.1251 | Test MAE: 3.3106
Iteração 677: Adicionadas 5 amostras | Incerteza Média Batch: 1.5018 | Test R2: -0.1717 | Test MAE: 3.4530
Iteração 678: Adicionadas 5 amostras | Incerteza Média Batch: 1.4325 | Test R2: -0.2490 | Test MAE: 3.6364
Iteração 679: Adicionadas 5 amostras | Incerteza Média Batch: 1.3909 | Test R2: -0.3418 | Test MAE: 3.8235
Iteração 680: Adicionadas 5 amostras | Incerteza Média Batch: 1.3761 | Test R2: -0.4492 | Test MAE: 4.0132
Iteração 681: Adicionadas 5 amostras | Incerteza Média Batch: 1.3790 | Test R2: -0.5685 | Test MAE: 4.2018
Iteração 682: Adicionadas 5 amostras | Incerteza Média Batch: 1.4143 | Test R2: -0.7069 | Test MAE: 4.4029
Iteração 683: Adicionadas 5 amostras | Incerteza Média Batch: 1.3882 | Test R2: -0.8411 | Test MAE: 4.5853
Iteração 684: Adicionadas 5 amostras | Incerteza Média Batch: 1.4067 | Test R2: -0.9687 | Test MAE: 4.7536
Iteração 685: Adicionadas 5 amostras | Incerteza Média Batch: 1.3775 | Test R2: -1.0855 | Test MAE: 4.9053
Iteração 686: Adicionadas 5 amostras | Incerteza Média Batch: 1.3769 | Test R2: -1.1792 | Test MAE: 5.0277
Iteração 687: Adicionadas 5 amostras | Incerteza Média Batch: 1.3652 | Test R2: -1.2315 | Test MAE: 5.1021
Iteração 688: Adicionadas 5 amostras | Incerteza Média Batch: 1.3655 | Test R2: -1.2580 | Test MAE: 5.1490
Iteração 689: Adicionadas 5 amostras | Incerteza Média Batch: 1.3710 | Test R2: -1.2497 | Test MAE: 5.1569
Iteração 690: Adicionadas 5 amostras | Incerteza Média Batch: 1.3960 | Test R2: -1.2117 | Test MAE: 5.1296
Iteração 691: Adicionadas 5 amostras | Incerteza Média Batch: 1.4234 | Test R2: -1.1477 | Test MAE: 5.0677
Iteração 692: Adicionadas 5 amostras | Incerteza Média Batch: 1.4628 | Test R2: -1.0632 | Test MAE: 4.9751
Iteração 693: Adicionadas 5 amostras | Incerteza Média Batch: 1.5556 | Test R2: -0.9727 | Test MAE: 4.8664
Iteração 694: Adicionadas 5 amostras | Incerteza Média Batch: 1.6269 | Test R2: -0.8737 | Test MAE: 4.7335
Iteração 695: Adicionadas 5 amostras | Incerteza Média Batch: 1.7598 | Test R2: -0.7718 | Test MAE: 4.5797
Iteração 696: Adicionadas 5 amostras | Incerteza Média Batch: 1.8857 | Test R2: -0.6735 | Test MAE: 4.4095
Iteração 697: Adicionadas 5 amostras | Incerteza Média Batch: 2.0140 | Test R2: -0.5863 | Test MAE: 4.2357
Iteração 698: Adicionadas 5 amostras | Incerteza Média Batch: 2.2009 | Test R2: -0.5285 | Test MAE: 4.1058
Iteração 699: Adicionadas 5 amostras | Incerteza Média Batch: 2.2335 | Test R2: -0.5021 | Test MAE: 4.0408
Iteração 700: Adicionadas 5 amostras | Incerteza Média Batch: 2.1038 | Test R2: -0.4969 | Test MAE: 4.0221
Iteração 701: Adicionadas 5 amostras | Incerteza Média Batch: 1.7771 | Test R2: -0.5086 | Test MAE: 4.0375
Iteração 702: Adicionadas 5 amostras | Incerteza Média Batch: 1.6501 | Test R2: -0.5221 | Test MAE: 4.0553
Iteração 703: Adicionadas 5 amostras | Incerteza Média Batch: 1.5894 | Test R2: -0.5389 | Test MAE: 4.0808
Iteração 704: Adicionadas 5 amostras | Incerteza Média Batch: 1.6449 | Test R2: -0.5611 | Test MAE: 4.1197
Iteração 705: Adicionadas 5 amostras | Incerteza Média Batch: 1.7937 | Test R2: -0.5772 | Test MAE: 4.1530
Iteração 706: Adicionadas 5 amostras | Incerteza Média Batch: 1.9638 | Test R2: -0.5898 | Test MAE: 4.1832
Iteração 707: Adicionadas 5 amostras | Incerteza Média Batch: 2.1546 | Test R2: -0.6067 | Test MAE: 4.2196
Iteração 708: Adicionadas 5 amostras | Incerteza Média Batch: 2.3402 | Test R2: -0.6390 | Test MAE: 4.2820
Iteração 709: Adicionadas 5 amostras | Incerteza Média Batch: 2.4877 | Test R2: -0.6976 | Test MAE: 4.3926
Iteração 710: Adicionadas 5 amostras | Incerteza Média Batch: 2.5997 | Test R2: -0.7808 | Test MAE: 4.5471
Iteração 711: Adicionadas 5 amostras | Incerteza Média Batch: 2.5454 | Test R2: -0.8814 | Test MAE: 4.7267
Iteração 712: Adicionadas 5 amostras | Incerteza Média Batch: 2.3535 | Test R2: -0.9785 | Test MAE: 4.8888
Iteração 713: Adicionadas 5 amostras | Incerteza Média Batch: 2.0512 | Test R2: -1.0580 | Test MAE: 5.0135
Iteração 714: Adicionadas 5 amostras | Incerteza Média Batch: 1.7283 | Test R2: -1.1192 | Test MAE: 5.1055
Iteração 715: Adicionadas 5 amostras | Incerteza Média Batch: 1.5051 | Test R2: -1.1540 | Test MAE: 5.1554
Iteração 716: Adicionadas 5 amostras | Incerteza Média Batch: 1.3721 | Test R2: -1.1971 | Test MAE: 5.2161
Iteração 717: Adicionadas 5 amostras | Incerteza Média Batch: 1.4093 | Test R2: -1.2177 | Test MAE: 5.2443
Iteração 718: Adicionadas 5 amostras | Incerteza Média Batch: 1.4716 | Test R2: -1.2167 | Test MAE: 5.2425
Iteração 719: Adicionadas 5 amostras | Incerteza Média Batch: 1.5500 | Test R2: -1.1886 | Test MAE: 5.2027
Iteração 720: Adicionadas 5 amostras | Incerteza Média Batch: 1.6004 | Test R2: -1.1441 | Test MAE: 5.1390
Iteração 721: Adicionadas 5 amostras | Incerteza Média Batch: 1.7467 | Test R2: -1.1060 | Test MAE: 5.0832
Iteração 722: Adicionadas 5 amostras | Incerteza Média Batch: 1.7533 | Test R2: -1.0520 | Test MAE: 5.0026
Iteração 723: Adicionadas 5 amostras | Incerteza Média Batch: 1.7324 | Test R2: -1.0010 | Test MAE: 4.9246
Iteração 724: Adicionadas 5 amostras | Incerteza Média Batch: 1.6639 | Test R2: -0.9413 | Test MAE: 4.8302
Iteração 725: Adicionadas 5 amostras | Incerteza Média Batch: 1.5834 | Test R2: -0.8722 | Test MAE: 4.7176
Iteração 726: Adicionadas 5 amostras | Incerteza Média Batch: 1.5278 | Test R2: -0.7944 | Test MAE: 4.5845
Iteração 727: Adicionadas 5 amostras | Incerteza Média Batch: 1.5117 | Test R2: -0.7216 | Test MAE: 4.4542
Iteração 728: Adicionadas 5 amostras | Incerteza Média Batch: 1.4716 | Test R2: -0.6484 | Test MAE: 4.3163
Iteração 729: Adicionadas 5 amostras | Incerteza Média Batch: 1.4393 | Test R2: -0.5827 | Test MAE: 4.1864
Iteração 730: Adicionadas 5 amostras | Incerteza Média Batch: 1.3977 | Test R2: -0.5266 | Test MAE: 4.0747
Iteração 731: Adicionadas 5 amostras | Incerteza Média Batch: 1.3822 | Test R2: -0.4889 | Test MAE: 3.9979
Iteração 732: Adicionadas 5 amostras | Incerteza Média Batch: 1.3721 | Test R2: -0.4647 | Test MAE: 3.9511
Iteração 733: Adicionadas 5 amostras | Incerteza Média Batch: 1.3538 | Test R2: -0.4507 | Test MAE: 3.9241
Iteração 734: Adicionadas 5 amostras | Incerteza Média Batch: 1.3521 | Test R2: -0.4503 | Test MAE: 3.9205
Iteração 735: Adicionadas 5 amostras | Incerteza Média Batch: 1.3365 | Test R2: -0.4487 | Test MAE: 3.9143
Iteração 736: Adicionadas 5 amostras | Incerteza Média Batch: 1.3371 | Test R2: -0.4487 | Test MAE: 3.9082
Iteração 737: Adicionadas 5 amostras | Incerteza Média Batch: 1.3496 | Test R2: -0.4488 | Test MAE: 3.9008
Iteração 738: Adicionadas 5 amostras | Incerteza Média Batch: 1.3261 | Test R2: -0.4577 | Test MAE: 3.9074
Iteração 739: Adicionadas 5 amostras | Incerteza Média Batch: 1.3135 | Test R2: -0.4692 | Test MAE: 3.9181
Iteração 740: Adicionadas 5 amostras | Incerteza Média Batch: 1.2906 | Test R2: -0.4859 | Test MAE: 3.9377
Iteração 741: Adicionadas 5 amostras | Incerteza Média Batch: 1.2604 | Test R2: -0.5017 | Test MAE: 3.9563
Iteração 742: Adicionadas 5 amostras | Incerteza Média Batch: 1.2526 | Test R2: -0.5145 | Test MAE: 3.9702
Iteração 743: Adicionadas 5 amostras | Incerteza Média Batch: 1.2614 | Test R2: -0.5247 | Test MAE: 3.9808
Iteração 744: Adicionadas 5 amostras | Incerteza Média Batch: 1.2294 | Test R2: -0.5223 | Test MAE: 3.9757
Iteração 745: Adicionadas 5 amostras | Incerteza Média Batch: 1.2599 | Test R2: -0.5166 | Test MAE: 3.9658
Iteração 746: Adicionadas 5 amostras | Incerteza Média Batch: 1.2483 | Test R2: -0.5041 | Test MAE: 3.9443
Iteração 747: Adicionadas 5 amostras | Incerteza Média Batch: 1.2091 | Test R2: -0.4825 | Test MAE: 3.9122
Iteração 748: Adicionadas 5 amostras | Incerteza Média Batch: 1.2120 | Test R2: -0.4540 | Test MAE: 3.8718
Iteração 749: Adicionadas 5 amostras | Incerteza Média Batch: 1.2125 | Test R2: -0.4166 | Test MAE: 3.8150
Iteração 750: Adicionadas 5 amostras | Incerteza Média Batch: 1.2144 | Test R2: -0.3799 | Test MAE: 3.7598
Iteração 751: Adicionadas 5 amostras | Incerteza Média Batch: 1.2430 | Test R2: -0.3462 | Test MAE: 3.7085
Iteração 752: Adicionadas 5 amostras | Incerteza Média Batch: 1.2345 | Test R2: -0.3123 | Test MAE: 3.6545
Iteração 753: Adicionadas 5 amostras | Incerteza Média Batch: 1.2438 | Test R2: -0.2796 | Test MAE: 3.5998
Iteração 754: Adicionadas 5 amostras | Incerteza Média Batch: 1.2199 | Test R2: -0.2482 | Test MAE: 3.5482
Iteração 755: Adicionadas 5 amostras | Incerteza Média Batch: 1.2054 | Test R2: -0.2152 | Test MAE: 3.4901
Iteração 756: Adicionadas 5 amostras | Incerteza Média Batch: 1.1729 | Test R2: -0.1833 | Test MAE: 3.4328
Iteração 757: Adicionadas 5 amostras | Incerteza Média Batch: 1.1622 | Test R2: -0.1573 | Test MAE: 3.3837
Iteração 758: Adicionadas 5 amostras | Incerteza Média Batch: 1.1560 | Test R2: -0.1366 | Test MAE: 3.3418
Iteração 759: Adicionadas 5 amostras | Incerteza Média Batch: 1.1638 | Test R2: -0.1212 | Test MAE: 3.3073
Iteração 760: Adicionadas 5 amostras | Incerteza Média Batch: 1.1848 | Test R2: -0.1100 | Test MAE: 3.2842
Iteração 761: Adicionadas 5 amostras | Incerteza Média Batch: 1.1807 | Test R2: -0.1029 | Test MAE: 3.2662
Iteração 762: Adicionadas 5 amostras | Incerteza Média Batch: 1.1744 | Test R2: -0.0962 | Test MAE: 3.2510
Iteração 763: Adicionadas 5 amostras | Incerteza Média Batch: 1.1764 | Test R2: -0.0915 | Test MAE: 3.2417
Iteração 764: Adicionadas 5 amostras | Incerteza Média Batch: 1.1734 | Test R2: -0.0865 | Test MAE: 3.2333
Iteração 765: Adicionadas 5 amostras | Incerteza Média Batch: 1.1753 | Test R2: -0.0821 | Test MAE: 3.2291
Iteração 766: Adicionadas 5 amostras | Incerteza Média Batch: 1.1529 | Test R2: -0.0775 | Test MAE: 3.2264
Iteração 767: Adicionadas 5 amostras | Incerteza Média Batch: 1.1615 | Test R2: -0.0714 | Test MAE: 3.2256
Iteração 768: Adicionadas 5 amostras | Incerteza Média Batch: 1.1448 | Test R2: -0.0660 | Test MAE: 3.2304
Iteração 769: Adicionadas 5 amostras | Incerteza Média Batch: 1.1490 | Test R2: -0.0658 | Test MAE: 3.2464
Iteração 770: Adicionadas 5 amostras | Incerteza Média Batch: 1.1282 | Test R2: -0.0718 | Test MAE: 3.2743
Iteração 771: Adicionadas 5 amostras | Incerteza Média Batch: 1.1235 | Test R2: -0.0829 | Test MAE: 3.3097
Iteração 772: Adicionadas 5 amostras | Incerteza Média Batch: 1.1135 | Test R2: -0.0910 | Test MAE: 3.3360
Iteração 773: Adicionadas 5 amostras | Incerteza Média Batch: 1.1523 | Test R2: -0.0952 | Test MAE: 3.3524
Iteração 774: Adicionadas 5 amostras | Incerteza Média Batch: 1.2353 | Test R2: -0.0995 | Test MAE: 3.3678
Iteração 775: Adicionadas 5 amostras | Incerteza Média Batch: 1.2496 | Test R2: -0.1034 | Test MAE: 3.3813
Iteração 776: Adicionadas 5 amostras | Incerteza Média Batch: 1.2649 | Test R2: -0.1131 | Test MAE: 3.4062
Iteração 777: Adicionadas 5 amostras | Incerteza Média Batch: 1.2220 | Test R2: -0.1197 | Test MAE: 3.4236
Iteração 778: Adicionadas 5 amostras | Incerteza Média Batch: 1.2233 | Test R2: -0.1392 | Test MAE: 3.4683
Iteração 779: Adicionadas 5 amostras | Incerteza Média Batch: 1.2068 | Test R2: -0.1698 | Test MAE: 3.5357
Iteração 780: Adicionadas 5 amostras | Incerteza Média Batch: 1.1658 | Test R2: -0.1914 | Test MAE: 3.5824
Iteração 781: Adicionadas 5 amostras | Incerteza Média Batch: 1.1337 | Test R2: -0.2052 | Test MAE: 3.6106
Iteração 782: Adicionadas 5 amostras | Incerteza Média Batch: 1.1205 | Test R2: -0.2150 | Test MAE: 3.6307
Iteração 783: Adicionadas 5 amostras | Incerteza Média Batch: 1.1170 | Test R2: -0.2167 | Test MAE: 3.6350
Iteração 784: Adicionadas 5 amostras | Incerteza Média Batch: 1.1469 | Test R2: -0.2064 | Test MAE: 3.6153
Iteração 785: Adicionadas 5 amostras | Incerteza Média Batch: 1.2124 | Test R2: -0.1933 | Test MAE: 3.5890
Iteração 786: Adicionadas 5 amostras | Incerteza Média Batch: 1.2348 | Test R2: -0.1788 | Test MAE: 3.5582
Iteração 787: Adicionadas 5 amostras | Incerteza Média Batch: 1.1233 | Test R2: -0.1603 | Test MAE: 3.5156
Iteração 788: Adicionadas 5 amostras | Incerteza Média Batch: 1.1079 | Test R2: -0.1420 | Test MAE: 3.4715
Iteração 789: Adicionadas 5 amostras | Incerteza Média Batch: 1.0833 | Test R2: -0.1282 | Test MAE: 3.4381
Iteração 790: Adicionadas 5 amostras | Incerteza Média Batch: 1.1397 | Test R2: -0.1207 | Test MAE: 3.4206
Iteração 791: Adicionadas 5 amostras | Incerteza Média Batch: 1.1984 | Test R2: -0.1182 | Test MAE: 3.4150
Iteração 792: Adicionadas 5 amostras | Incerteza Média Batch: 1.1959 | Test R2: -0.1244 | Test MAE: 3.4299
Iteração 793: Adicionadas 5 amostras | Incerteza Média Batch: 1.2176 | Test R2: -0.1338 | Test MAE: 3.4496
Iteração 794: Adicionadas 5 amostras | Incerteza Média Batch: 1.2008 | Test R2: -0.1594 | Test MAE: 3.5038
Iteração 795: Adicionadas 5 amostras | Incerteza Média Batch: 1.1903 | Test R2: -0.1910 | Test MAE: 3.5680
Iteração 796: Adicionadas 5 amostras | Incerteza Média Batch: 1.1746 | Test R2: -0.2246 | Test MAE: 3.6346
Iteração 797: Adicionadas 5 amostras | Incerteza Média Batch: 1.1316 | Test R2: -0.2626 | Test MAE: 3.7090
Iteração 798: Adicionadas 5 amostras | Incerteza Média Batch: 1.1183 | Test R2: -0.3095 | Test MAE: 3.7993
Iteração 799: Adicionadas 5 amostras | Incerteza Média Batch: 1.0918 | Test R2: -0.3515 | Test MAE: 3.8769
Iteração 800: Adicionadas 5 amostras | Incerteza Média Batch: 1.0925 | Test R2: -0.3823 | Test MAE: 3.9300
Iteração 801: Adicionadas 5 amostras | Incerteza Média Batch: 1.1003 | Test R2: -0.3944 | Test MAE: 3.9438
Iteração 802: Adicionadas 5 amostras | Incerteza Média Batch: 1.1053 | Test R2: -0.3983 | Test MAE: 3.9395
Iteração 803: Adicionadas 5 amostras | Incerteza Média Batch: 1.1180 | Test R2: -0.3876 | Test MAE: 3.9029
Iteração 804: Adicionadas 5 amostras | Incerteza Média Batch: 1.1437 | Test R2: -0.3727 | Test MAE: 3.8562
Iteração 805: Adicionadas 5 amostras | Incerteza Média Batch: 1.1272 | Test R2: -0.3626 | Test MAE: 3.8208
Iteração 806: Adicionadas 5 amostras | Incerteza Média Batch: 1.1182 | Test R2: -0.3684 | Test MAE: 3.8175
Iteração 807: Adicionadas 5 amostras | Incerteza Média Batch: 1.1119 | Test R2: -0.3709 | Test MAE: 3.8088
Iteração 808: Adicionadas 5 amostras | Incerteza Média Batch: 1.0922 | Test R2: -0.3663 | Test MAE: 3.7897
Iteração 809: Adicionadas 5 amostras | Incerteza Média Batch: 1.0898 | Test R2: -0.3518 | Test MAE: 3.7555
Iteração 810: Adicionadas 5 amostras | Incerteza Média Batch: 1.0743 | Test R2: -0.3407 | Test MAE: 3.7303
Iteração 811: Adicionadas 5 amostras | Incerteza Média Batch: 1.0901 | Test R2: -0.3347 | Test MAE: 3.7158
Iteração 812: Adicionadas 5 amostras | Incerteza Média Batch: 1.0731 | Test R2: -0.3281 | Test MAE: 3.7017
Iteração 813: Adicionadas 5 amostras | Incerteza Média Batch: 1.0536 | Test R2: -0.3192 | Test MAE: 3.6851
Iteração 814: Adicionadas 5 amostras | Incerteza Média Batch: 1.0297 | Test R2: -0.3065 | Test MAE: 3.6632
Iteração 815: Adicionadas 5 amostras | Incerteza Média Batch: 1.0180 | Test R2: -0.2853 | Test MAE: 3.6279
Iteração 816: Adicionadas 5 amostras | Incerteza Média Batch: 1.0064 | Test R2: -0.2561 | Test MAE: 3.5793
Iteração 817: Adicionadas 5 amostras | Incerteza Média Batch: 0.9949 | Test R2: -0.2219 | Test MAE: 3.5211
Iteração 818: Adicionadas 5 amostras | Incerteza Média Batch: 1.0079 | Test R2: -0.1872 | Test MAE: 3.4612
Iteração 819: Adicionadas 5 amostras | Incerteza Média Batch: 1.0164 | Test R2: -0.1514 | Test MAE: 3.3984
Iteração 820: Adicionadas 5 amostras | Incerteza Média Batch: 1.0065 | Test R2: -0.1145 | Test MAE: 3.3326
Iteração 821: Adicionadas 5 amostras | Incerteza Média Batch: 1.0121 | Test R2: -0.0775 | Test MAE: 3.2648
Iteração 822: Adicionadas 5 amostras | Incerteza Média Batch: 1.0227 | Test R2: -0.0451 | Test MAE: 3.2042
Iteração 823: Adicionadas 5 amostras | Incerteza Média Batch: 1.0427 | Test R2: -0.0219 | Test MAE: 3.1588
Iteração 824: Adicionadas 5 amostras | Incerteza Média Batch: 1.0486 | Test R2: -0.0050 | Test MAE: 3.1249
Iteração 825: Adicionadas 5 amostras | Incerteza Média Batch: 1.0461 | Test R2: 0.0104 | Test MAE: 3.0927
Iteração 826: Adicionadas 5 amostras | Incerteza Média Batch: 1.0402 | Test R2: 0.0222 | Test MAE: 3.0657
Iteração 827: Adicionadas 5 amostras | Incerteza Média Batch: 1.0549 | Test R2: 0.0274 | Test MAE: 3.0527
Iteração 828: Adicionadas 5 amostras | Incerteza Média Batch: 1.0518 | Test R2: 0.0318 | Test MAE: 3.0415
Iteração 829: Adicionadas 5 amostras | Incerteza Média Batch: 1.0619 | Test R2: 0.0324 | Test MAE: 3.0393
Iteração 830: Adicionadas 5 amostras | Incerteza Média Batch: 1.0689 | Test R2: 0.0334 | Test MAE: 3.0360
Iteração 831: Adicionadas 5 amostras | Incerteza Média Batch: 1.0633 | Test R2: 0.0333 | Test MAE: 3.0347
Iteração 832: Adicionadas 5 amostras | Incerteza Média Batch: 1.0530 | Test R2: 0.0292 | Test MAE: 3.0399
Iteração 833: Adicionadas 5 amostras | Incerteza Média Batch: 1.0542 | Test R2: 0.0229 | Test MAE: 3.0485
Iteração 834: Adicionadas 5 amostras | Incerteza Média Batch: 1.0495 | Test R2: 0.0139 | Test MAE: 3.0634
Iteração 835: Adicionadas 5 amostras | Incerteza Média Batch: 1.0522 | Test R2: 0.0116 | Test MAE: 3.0674
Iteração 836: Adicionadas 5 amostras | Incerteza Média Batch: 1.0523 | Test R2: 0.0165 | Test MAE: 3.0601
Iteração 837: Adicionadas 5 amostras | Incerteza Média Batch: 1.0609 | Test R2: 0.0309 | Test MAE: 3.0347
Iteração 838: Adicionadas 5 amostras | Incerteza Média Batch: 1.0815 | Test R2: 0.0498 | Test MAE: 2.9975
Iteração 839: Adicionadas 5 amostras | Incerteza Média Batch: 1.0797 | Test R2: 0.0623 | Test MAE: 2.9756
Iteração 840: Adicionadas 5 amostras | Incerteza Média Batch: 1.1093 | Test R2: 0.0703 | Test MAE: 2.9618
Iteração 841: Adicionadas 5 amostras | Incerteza Média Batch: 1.1153 | Test R2: 0.0687 | Test MAE: 2.9700
Iteração 842: Adicionadas 5 amostras | Incerteza Média Batch: 1.2044 | Test R2: 0.0526 | Test MAE: 3.0084
Iteração 843: Adicionadas 5 amostras | Incerteza Média Batch: 1.3004 | Test R2: 0.0193 | Test MAE: 3.0776
Iteração 844: Adicionadas 5 amostras | Incerteza Média Batch: 1.2874 | Test R2: -0.0263 | Test MAE: 3.1644
Iteração 845: Adicionadas 5 amostras | Incerteza Média Batch: 1.1356 | Test R2: -0.0686 | Test MAE: 3.2413
Iteração 846: Adicionadas 5 amostras | Incerteza Média Batch: 1.0974 | Test R2: -0.1083 | Test MAE: 3.3115
Iteração 847: Adicionadas 5 amostras | Incerteza Média Batch: 1.1095 | Test R2: -0.1325 | Test MAE: 3.3540
